"power","Fold_1","Fold_2","Fold_3","Fold_4","Fold_5","Fold_6","Fold_7","Fold_8","Fold_9","Fold_10"
2,0.104005954194535,0.103124168167182,0.102024812381618,0.103699794359912,0.10312458681128,0.102673974551801,0.103150158801358,0.102540920644969,0.104237149411091,0.103260909713877
3,0.0545945398084148,0.0541204096160523,0.0535545161426458,0.0544243685838219,0.0541352495447895,0.0538645672185494,0.0542190428230753,0.0537945870655949,0.0546507693139611,0.0542199935795193
4,0.0384061637504495,0.038059093233135,0.0376727145086163,0.0382798838350597,0.0380726769450483,0.0378680645065261,0.0381612679626222,0.0378230341489804,0.0384190784446117,0.0381459442360091
5,0.0308719972240537,0.0305837759192969,0.0302770189779871,0.0307665489401585,0.0305974633052202,0.0304218958031328,0.0306833108097784,0.0303887974444705,0.0308684971866407,0.0306650522829207
6,0.0266184584279737,0.0263641441603232,0.026104248619529,0.0265250065507006,0.0263772634852745,0.0262185378426987,0.0264607465945541,0.0261930919476295,0.0266094889613898,0.0264405373414508
7,0.0239284263787041,0.0236977464466034,0.0234683338963896,0.0238449609157949,0.0237103079772551,0.0235631945021322,0.0237926684176153,0.0235429630275064,0.0239162959480847,0.0237719433187998
8,0.022092507629597,0.021878649622276,0.0216704925022243,0.0220158536176898,0.0218907808492499,0.0217515775180756,0.0219716371706024,0.0217353708214584,0.022077577036938,0.0219508274101512
9,0.0207427613478936,0.0205427170092151,0.0203523660109299,0.0206727414236631,0.0205536405431417,0.0204219542533992,0.0206335333590015,0.0204096238563351,0.0207262561492937,0.0206136640751201
10,0.0197145038998298,0.0195237193247385,0.0193449209615791,0.0196493429551799,0.0195337596118991,0.0194057270805336,0.0196134160052253,0.0193971224572309,0.0196976077203454,0.0195942550217399
11,0.0189285826985518,0.0187449858375441,0.0185744996516004,0.0188676603494542,0.0187536034297319,0.0186292599182399,0.0188343772916433,0.0186232468842857,0.018911360164587,0.0188160448192555
12,0.0183011709251568,0.0181250723712139,0.01796254745346,0.0182448130053058,0.0181329696973224,0.0180115799442636,0.0182134282123417,0.0180076138171815,0.0182842412630185,0.0181958158175549
13,0.0177848634395988,0.0176131573968551,0.0174580251644148,0.0177316306608962,0.0176207658867063,0.0175020374694662,0.017701395791229,0.0175003477325033,0.0177682919598196,0.0176844336102574
14,0.0173560531553833,0.0171891789951394,0.0170392976052081,0.0173062103742878,0.0171968529790386,0.0170798784909759,0.0172771965633855,0.0170799738909242,0.0173393175684736,0.0172616772525165
15,0.0169942432693084,0.0168314642807313,0.0166876367679612,0.0169471013588128,0.0168384331349166,0.016724215977279,0.0169192510247004,0.0167260028556649,0.0169773320607983,0.0169044884135277
16,0.0166811020644132,0.0165218396517756,0.0163826663058508,0.0166363276552468,0.016528605200344,0.0164159492440189,0.0166095429547515,0.0164192323157394,0.0166645461850103,0.0165957818151773
17,0.0164077464689596,0.0162516328369804,0.016116861064341,0.0163659505318478,0.0162581304293719,0.016146923712366,0.0163393714175657,0.016151557377966,0.0163917986331878,0.0163267909320409
18,0.0161685759244517,0.0160157422816432,0.0158842034386982,0.0161292721869574,0.0160221081171034,0.0159118869010736,0.0161033331897321,0.0159176460645951,0.016153012040724,0.0160920829235489
19,0.0159599352734652,0.0158091576864435,0.015681641238873,0.0159228477777821,0.015815102701793,0.0157068607913572,0.0158970507934492,0.0157140340397573,0.0159448726144737,0.0158869637106468
20,0.0157729296121872,0.0156254543928378,0.0155012153742131,0.0157382000689951,0.0156308554779387,0.015523991007762,0.0157123145308477,0.0155330685088686,0.0157586805823878,0.0157034563107209
